index,question
1,What’s a place you’ve been that left a lasting mark on you?
2,"If you could share a long conversation over dinner with anyone from any era, who would you choose?"
3,"What’s a skill you wish you could grow into, and what draws you to it?"
4,What’s a piece of wisdom someone gave you that still shapes you today?
5,What’s something meaningful about you that people rarely notice?
6,How would you design your perfect weekend from start to finish?
7,Which book or film shifted the way you see the world?
8,What’s something in your life you rely on but often overlook?
9,When have you stepped outside your comfort zone in a memorable way?
10,"If you could instantly become exceptional at one craft, what would it be?"
11,What moment in your life altered your direction in some way?
12,What personal strength do you find yourself relying on the most?
13,What’s something small that reliably lifts your spirit?
14,"If you could eliminate one global issue with a single action, what would you choose?"
15,How do you most enjoy spending time in your own company?
16,When have you done something spontaneous that changed your day or your life?
17,What embarrassing moment can you laugh about now because of how far you’ve come?
18,"If you could re-experience one day from the last year, which one would you choose?"
19,What childhood belief feels funny or surprising to you now?
20,Which live performance or event has stayed with you long after it ended?
21,"What’s a meaningful lesson you’ve learned about friendship, especially the hard way?"
22,What family memory from this past year warms your heart the most?
23,What trait or habit do you realize you inherited from your parents?
24,Which family tradition holds the most meaning for you?
25,What’s something you truly appreciate about being part of this family?
26,Which family story never gets old no matter how often it’s told?
27,What makes you feel most cared for and understood by your family?
28,What unique strength does each person in this group contribute?
29,What’s the most energizing team experience you’ve ever been part of?
30,Which project or achievement makes you feel genuinely proud?
31,What is the most helpful way for others to give you feedback?
32,What drives you to do your best work?
33,What’s something new you’ve discovered about yourself lately?
34,What memory of us from this year makes you smile the most?
35,What’s something you admire about me that you rarely say out loud?
36,What shared goal excites you the most about our future?
37,When do you feel the most connected to me?
38,What’s an experience you hope we get to share someday?
39,What place in the world has taken your breath away the most?
40,"If you could settle into any city for a full year, where would you choose to live?"
41,Which travel experience has stayed with you long after it ended?
42,What destination sits at the top of your dream-travel list?
43,What meal stands out in your memory as unforgettable?
44,What dish instantly brings you back to home or childhood?
45,"If you had to choose one cuisine to eat forever, which would you devote yourself to?"
46,What have you cooked that made you genuinely proud?
47,What song never fails to brighten your mood?
48,What live performance will you remember for the rest of your life?
49,"If you could learn to play any instrument, which one calls to you?"
50,What do you listen to when you need a surge of motivation?
51,What sports moment stands out as unforgettable to you?
52,What sport would you love to try if fear or skill didn’t matter?
53,"Which athlete do you deeply admire, and what about them inspires you?"
54,What’s the most thrilling game or match you’ve ever watched?
55,What’s a question someone once asked you that you still think about?
56,"Who has shaped your life the most, and how?"
57,What draws your curiosity about the person sitting across from you?
58,"If you could gift a single superpower to someone you love, what would you choose?"
59,What’s one of your biggest pet peeves and why does it get to you?
60,What’s a personal red flag you’re aware of in yourself?
61,What’s a green flag you’re proud to carry?
62,"If your current mood had a color, what would it be and why?"
63,What helps you feel grounded when life feels overwhelming?
64,What are you choosing to put your faith in right now?
65,What’s something in your life that’s changing for the better?
66,Who are you quietly rooting for these days?
67,Who is the most joyful person you’ve ever encountered?
68,Do you believe people deserve second chances? Why or why not?
69,Do you believe people are capable of real change?
70,"If you could instantly appear anywhere in the world, where would you go?"
71,Do you consider yourself an honest person? Why or why not?
72,Who do you trust most deeply in your life?
73,What quality do you consider most essential in a partner?
74,What matters most to you in this season of your life?
75,What’s a question you’ve been wrestling with lately?
76,What’s the biggest “what if” that lingers in your mind?
77,Who is someone you think of as “the one who slipped out of your life” and why?
78,"When you picture success, what’s the very first image that appears?"
79,Is there someone - past or present - you wish you had made peace with? Why them?
80,What’s the question you’re most afraid to ask and who would you ask it to?
81,"Who is someone you wish you could bring back into your life, even for a moment?"
82,In what ways have you recently shown up for yourself?
83,What’s a habit or tendency you consider your worst?
84,What do you consider your greatest inner quality?
85,"If the person beside you had a superpower, what do you think it would be?"
86,"If you could get closure from one person in your life, who would it be?"
87,Are you resisting any kind of change right now? What’s holding you back?
88,How would you personally define love?
89,How would you describe the feeling of self-worth in your own words?
90,Have you made room in your life for the things you truly want?
91,What moment in your life feels too precious to ever forget?
92,Do you have feelings for someone that you’ve kept quiet about?
93,"If you could tell your childhood crush one thing now, what would you say?"
94,How do you usually move through anger when it shows up?
95,What feels sacred or significant about this very moment?
96,Where have you found small miracles hidden in everyday life lately?
97,Where in your life have you felt most pushed away?
98,Where have you felt deeply welcomed or accepted?
99,What’s something meaningful you’ve discovered about yourself this past year?
100,What truth about yourself do you struggle to fully acknowledge?
101,How do you find your way back to yourself after experiencing loss?
102,What do you find yourself needing most at this moment in your life?
103,What are you genuinely looking forward to right now?
104,Who consistently looks out for your well-being?
105,"If you could award someone a “star” in the story of your life, who would earn it?"
106,What fear sits closest to your heart?
107,What part of you feels the most sacred or untouchable?
108,What life lesson did you learn only through difficulty?
109,What is something about you that naturally stands out in a crowd?
110,What surprised you the most about the person beside you?
111,"What major challenge shaped you the most, and how did you move through it?"
112,What’s something about yourself that still manages to surprise you?
113,Is there a dream you keep tucked away from others?
114,"If you could try on a completely different worldview, what perspective would you explore?"
115,What’s one question you love asking others because it always reveals something real?
116,"If you could ask a higher power one question and receive a clear answer, what would you ask?"
117,What positive habit are you working to build into your life?
118,What unhelpful habit are you trying to let go of?
119,What moment or decision completely shifted the direction of your life?
120,How would your life expand if you acted with ten times more boldness?
121,"If you had a single dose of ""liquid luck"" and the next thing you tried was guaranteed to be successful, what would you use it on?"
122,Have you ever asked for a promotion or raise? How did it play out?
123,What part of your job do you find genuinely motivating?
124,When was the last time you confronted a fear directly?
125,How does the way you live reflect the values you care about most?
126,How would you spend a weekend without your phone if you had total freedom?
127,What’s the most meaningful way someone can support you when you’re struggling?
128,Do you usually set goals for yourself? Why or why not?
129,What is one goal you want to commit to over the next three months?
130,What do you want to say “yes” to more often in your life?
131,What kinds of decisions feel the hardest for you to make?
132,Do you think your life would improve or fall apart if you said “yes” to everything?
133,"What’s one thing you’ve recommended to others recently - a book, show, place, anything?"
134,When was the last time something moved you to tears?
135,Is there a movie that makes you cry every single time? What about it gets to you?
136,What’s the last thing you changed your mind about?
137,What’s something outside of work that you’re genuinely proud of?
138,"If time and money were unlimited, what passion would you follow wholeheartedly?"
139,What’s the last thing that made you laugh unexpectedly?
140,Who’s the person you find yourself laughing with the most?
141,What’s a high and low from your week?
142,What topic could you talk about for twenty minutes straight without a single note?
143,What’s the strangest or funniest thing currently sitting in your notes app?
144,What toothpaste flavor did you always choose at the dentist as a kid?
145,What’s one rule from your childhood that you now see was completely unnecessary?
146,What’s one brand you’d love to be sponsored by if you could choose?
147,"If you could receive unlimited clothing from one brand, which would you choose?"
148,"If you were an influencer, what niche or aesthetic would define your content?"
149,What is something you feel gratitude for right now?
150,What is a song that immediately brings back a specific memory or emotion whenever you listen to it?
151,What is one health trend that you have recently tried out or thought about trying out?
152,What is one fitness goal that you have for yourself this year?
153,What is a health habit that you believe has best improved your health and wellbeing?
154,"If you could have a gym in your home, what equipment would you stock it with?"
155,Do you think first-person shooter video games are harmful for adolescents?
156,What do you think are the pros and cons of playing video games?
157,Do you think it is possible for parents to have a favorite child? Do you think your parents had a favorite?
158,Do you think the name you are given can shape the person you become?
159,Is there a meaning behind your name?
160,Do you believe in love at first sight?
161,What is one thing that you were too scared to try or do that you now regret?
162,Do you feel more comfortable following or leading?
163,What qualities make a good leader?
164,What qualities make a good team player?
165,What do you think about before falling asleep?
166,Do you have any recurring dreams?
167,Do you believe it is important to analyze your dreams?
168,What is the first thing you think about when you wake up?
169,Who is someone in your life that is rooting for you?
170,When do you have a hard time believing in yourself?
171,What is something that you do to feel brave?
172,Is there something you wish you could change about yourself?
173,"When you need to feel happy, what do you do?"
174,What do you think a whole day without your phone would be like?
175,Do you wish you could spend less time on your phone?
176,Do you think that social media has had a positive or negative effect on your well being?
177,Is there something that you do everyday before leaving the house?
178,"In 5 years, what do you think will be exactly the same about your life?"
179,What makes you feel guilty?
180,What do you think makes you a good friend to others?
181,What qualities do you look for in a friend?
182,Do you think you act and behave differently when you are happy?
183,What are the differences in the way that you act with others when you are happy and sad?
184,What is your favorite place in your home?
185,Is there a place that you've visited that you never want to return to?
186,Did you try or do something for the first time this year?
187,What was your nickname growing up?
188,Where is the first place you would take a visitor in the place you live?
189,Do you think that a man and woman can be just friends?
190,What is one compliment that you have received that you will never forget?
191,What famous person today do you think will still be talked about in 200 years?
192,What are the differences in the strengths of your parents?
193,Do you think it is better for kids to grow up in a big family or small family?
194,Do you consider yourself more or less romantic than others?
195,Who in your family has the best luck?
196,Are there any smells that remind you of your childhood?
197,"Do you own anything with very little monetary value that you wouldn't sell for $5,000?"
198,Do you have a famous doppelganger?
199,What is your definition of intelligence?
200,What is the most admirable profession in your opinion?
201,What do you think your parents would say is the craziest thing you did in childhood?
202,Do you think parents should introduce their kids to a specific religion?
203,Do you think there are any benefits of being in prison?
204,Would you want to know how and when you will die?
205,What is something you would never compromise on in a relationship?
206,Have you ever fallen asleep during an important event?
207,What would you say the pros of being in a relationship are? What are the pros of being single?
208,Do you think any good has come as a result of a war?
209,Do you like when a friend comes over unannounced?
210,"Do you have any major scars on your body? If so, what is the story behind them?"
211,"Do you think the best days of your life are in your future, present, or past?"
212,"As you have gotten older, do you think you have acted more or less like your parents?"
213,Is life easier for kids or adults?
214,Do you think it is morally OK to lie to preserve someone's feelings?
215,What is your preferred method of wasting time? What is your most common way of wasting time?